url,popularity_rank,category,overall_rank
07racingcollectibles.com,966590,Top/Shopping/Antiques_and_Collectibles,None
123patch.com,966590,Top/Shopping/Sports,None
12voltproducts.com,966590,Top/Shopping/Vehicles,None
1800granola.com,966590,Top/Shopping/Food,None
1bestpriceelectronic.tripod.com,966590,Top/Shopping/Consumer_Electronics,None
2beingwell.com,966590,Top/Shopping/Health,None
2catchfish.com,966590,Top/Shopping/Recreation,None
360degree.free.fr,966590,Top/Shopping/Antiques_and_Collectibles,None
38pecans.com,966590,Top/Shopping/Food,None
3cdog.com,966590,Top/Shopping/Pets,None
3riversgamecalls.com,966590,Top/Shopping/Recreation,None
3rwc.com,966590,Top/Shopping/Holidays,None
4-dproducts.com,966590,Top/Shopping/Recreation,None
4-medical-supplies.com,966590,Top/Shopping/Health,None
45thfudge.com,966590,Top/Shopping/Food,None
4kidslikeme.com,966590,Top/Shopping/Toys_and_Games,None
4minutefitness.com,966590,Top/Shopping/Entertainment,None
50000books.com,966590,Top/Shopping/Publications,None
5thpeg.com,966590,Top/Shopping/Toys_and_Games,None
a1driveshaft.com,966590,Top/Shopping/Vehicles,None
a1stamps.com,966590,Top/Shopping/Office_Products,None
aaaasurplus.com,966590,Top/Shopping/Office_Products,None
aaamunitions.com,966590,Top/Shopping/Recreation,None
aamcare-electropedic.com,966590,Top/Shopping/Health,None
aandnjewelry.com,966590,Top/Shopping/Tools,None
aaneedleworks.altervista.org,966590,Top/Shopping/Crafts,None
aapearlny.com,966590,Top/Shopping/Jewelry,None
abbiscoffeemill.com,966590,Top/Shopping/Food,None
abdyretrotelephones.co.uk,966590,Top/Shopping/Consumer_Electronics,None
abedofrosessf.com,966590,Top/Shopping/Flowers,None
abernook.com,966590,Top/Shopping/General_Merchandise,None
aberrantartglass.com,966590,Top/Shopping/Crafts,None
abetterpoolsupply.com,966590,Top/Shopping/Home_and_Garden,None
abrakidabratoys.com,966590,Top/Shopping/Toys_and_Games,None
abregojewelry.com,966590,Top/Shopping/Jewelry,None
abrushandpencil.com,966590,Top/Shopping/Visual_Arts,None
absolutelyoutdoors.tripod.com,966590,Top/Shopping/Visual_Arts,None
acacheofjewelsannex.tripod.com,966590,Top/Shopping/Jewelry,None
academystamp.com,966590,Top/Shopping/Antiques_and_Collectibles,None
acadianwoods.com,966590,Top/Shopping/Recreation,None
accentsbeads.com,966590,Top/Shopping/Jewelry,None
