url,popularity_rank,category,overall_rank
www.amazon.com,10,Top/Shopping/Entertainment,10
www.netflix.com,26,Top/Shopping/Entertainment,27
www.ebay.com,40,Top/Shopping/Auctions,39
www.amazon.co.uk,80,Top/Shopping/Entertainment,94
www.walmart.com,143,Top/Shopping/General_Merchandise,171
www.etsy.com,148,Top/Shopping/Crafts,182
store.steampowered.com,188,Top/Shopping/Toys_and_Games,189
www.ikea.com,196,Top/Shopping/General_Merchandise,266
www.bestbuy.com,224,Top/Shopping/General_Merchandise,308
www.homedepot.com,251,Top/Shopping/General_Merchandise,333
www.target.com,270,Top/Shopping/General_Merchandise,392
www.cambridge.org,326,Top/Shopping/Publications,426
www.nike.com,353,Top/Shopping/Sports,481
www.wiley.com,354,Top/Shopping/Publications,483
www.hm.com,399,Top/Shopping/Clothing,564
newegg.com,421,Top/Shopping/Consumer_Electronics,601
www.groupon.com,424,Top/Shopping/Classifieds,615
www.lowes.com,463,Top/Shopping/Home_and_Garden,676
www.nordstrom.com,467,Top/Shopping/General_Merchandise,745
www.macys.com,475,Top/Shopping/General_Merchandise,741
costco.com,521,Top/Shopping/General_Merchandise,794
www.wayfair.com,542,Top/Shopping/Home_and_Garden,854
www.bhphotovideo.com,555,Top/Shopping/Photography,829
www.ticketmaster.com,584,Top/Shopping/Entertainment,815
www.humblebundle.com,608,Top/Shopping/Toys_and_Games,585
www.bodybuilding.com,649,Top/Shopping/Health,1015
www.iherb.com,721,Top/Shopping/Health,1194
www.cargurus.com,722,Top/Shopping/Vehicles,1295
www.kohls.com,725,Top/Shopping/General_Merchandise,1232
www.redbubble.com,795,Top/Shopping/Visual_Arts,1383
www.oup.com,809,Top/Shopping/Publications,1167
www.zappos.com,823,Top/Shopping/Clothing,1497
www.gap.com,854,Top/Shopping/Clothing,1391
www.sky.com,865,Top/Shopping/Consumer_Electronics,1521
www.overstock.com,894,Top/Shopping/General_Merchandise,1621
www.ifixit.com,898,Top/Shopping/Tools,1695
www.gamestop.com,916,Top/Shopping/Toys_and_Games,1678
www.autotrader.com,925,Top/Shopping/Vehicles,1654
www.bedbathandbeyond.com,983,Top/Shopping/General_Merchandise,1861
www.sephora.com,1004,Top/Shopping/Health,1710
www.walgreens.com,1013,Top/Shopping/Health,1807
www.forever21.com,1087,Top/Shopping/Clothing,1874
www.cars.com,1116,Top/Shopping/Classifieds,2046
www.yoox.com,1125,Top/Shopping/Clothing,2475
www.directv.com,1139,Top/Shopping/Consumer_Electronics,2189
www.urbanoutfitters.com,1152,Top/Shopping/General_Merchandise,1715
www.barnesandnoble.com,1159,Top/Shopping/Entertainment,2227
www.staples.com,1168,Top/Shopping/General_Merchandise,2223
www.sears.com,1175,Top/Shopping/General_Merchandise,2238
www.jcpenney.com,1243,Top/Shopping/General_Merchandise,2377
www.legacy.com,1247,Top/Shopping/Death_Care,2352
www.6pm.com,1341,Top/Shopping/Clothing,2800
www.samsclub.com,1343,Top/Shopping/General_Merchandise,2570
www.sweetwater.com,1352,Top/Shopping/Music,2511
www.dickssportinggoods.com,1356,Top/Shopping/Sports,2722
www.cvs.com,1361,Top/Shopping/Health,2594
www.shutterfly.com,1402,Top/Shopping/Photography,2482
www.trademe.co.nz,1430,Top/Shopping/Auctions,2769
www.mango.com,1438,Top/Shopping/Clothing,3101
www.rei.com,1516,Top/Shopping/Recreation,1812
www.rakuten.com,1525,Top/Shopping/General_Merchandise,3071
www.victoriassecret.com,1540,Top/Shopping/Clothing,2712
www.sony.com,1564,Top/Shopping/Consumer_Electronics,3073
www.officedepot.com,1593,Top/Shopping/Office_Products,3116
www.jcrew.com,1613,Top/Shopping/Clothing,2623
www.net-a-porter.com,1659,Top/Shopping/Clothing,3878
www.carmax.com,1678,Top/Shopping/Vehicles,3665
dx.com,1731,Top/Shopping/General_Merchandise,3461
www.ulta.com,1856,Top/Shopping/Health,3754
www.ae.com,1919,Top/Shopping/Clothing,3383
www.qvc.com,1959,Top/Shopping/General_Merchandise,4060
www.funimation.com,1969,Top/Shopping/Entertainment,4064
www.mapsofindia.com,1995,Top/Shopping/Publications,4006
