url,popularity_rank,category,overall_rank
www.amazon.com,10,Top/Shopping/Entertainment,10
www.ovisonline.com,197597,Top/Shopping/Home_and_Garden,1031055
tinyzippers.com,704933,Top/Shopping/Toys_and_Games,10366125
www.arrierorugs.com,647416,Top/Shopping/Ethnic_and_Regional,10637863
www.e-mosaik.com,551885,Top/Shopping/Ethnic_and_Regional,10891486
www.photoshowercurtain.com,966590,Top/Shopping/Gifts,10901531
www.oldenglishcrackers.com,731679,Top/Shopping/Entertainment,11053219
www.gentlerevolution.com,166283,Top/Shopping/Children,1110858
www.1percent.com,183185,Top/Shopping/Recreation,1117140
www.brunsonnet.com,966590,Top/Shopping/Recreation,11394761
pondplants.com,966590,Top/Shopping/Pets,11507078
creativecrafthouse.com,297935,Top/Shopping/Crafts,1164866
www.basspro.com,4908,Top/Shopping/Recreation,12357
www.klsupply.com,235879,Top/Shopping/Tools,1281126
jklutherie.com,656213,Top/Shopping/Music,14078976
www.tinkertots.com,966590,Top/Shopping/Toys_and_Games,14092907
www.elizabethlee.com,656821,Top/Shopping/Clothing,14112638
www.loeb-larocque.com,848982,Top/Shopping/Auctions,14497242
www.hdhwine.com,180301,Top/Shopping/Auctions,1501382
www.lifekind.com,220031,Top/Shopping/Home_and_Garden,1507563
www.parrishrelics.com,679556,Top/Shopping/Jewelry,15306557
apexembdesigns.com,39617,Top/Shopping/Clothing,154392
www.bemybear.com,181205,Top/Shopping/Children,1591659
www.leatherique.com,250477,Top/Shopping/Home_and_Garden,1629166
www.seafoamwoodturning.com,966590,Top/Shopping/Weddings,16853178
www.ketone.com,966590,Top/Shopping/Vehicles,16926517
www.welshminerslamps.com,966590,Top/Shopping/Antiques_and_Collectibles,17107905
www.raysofjoy.biz,966590,Top/Shopping/Death_Care,17326777
www.onceuponaname.com,808791,Top/Shopping/Jewelry,18011988
www.leadwarrior.com,966590,Top/Shopping/Antiques_and_Collectibles,18967774
www.supportsockshop.com,871698,Top/Shopping/Health,19285067
www.disneystore.com,49019,Top/Shopping/Entertainment,197936
www.proline-sports.co.uk,966590,Top/Shopping/Vehicles,19944530
www.tubedepot.com,54181,Top/Shopping/Consumer_Electronics,203198
www.legacystation.com,214559,Top/Shopping/Toys_and_Games,2050261
www.christmas-treasures.com,288592,Top/Shopping/Antiques_and_Collectibles,2095533
www.bohning.com,285853,Top/Shopping/Sports,2122173
www.scmsysteminc.com,397605,Top/Shopping/Visual_Arts,2215315
www.jaghobbies.com,478131,Top/Shopping/Recreation,2217106
www.staples.com,1168,Top/Shopping/General_Merchandise,2223
www.earthflora.com,374677,Top/Shopping/Home_and_Garden,2224154
www.cleanwaste.com,237678,Top/Shopping/Home_and_Garden,2237428
www.grubco.com,355061,Top/Shopping/Food,2259231
www.ccmodels.com,313957,Top/Shopping/Recreation,2332652
www.survival-warehouse.com,275972,Top/Shopping/Food,2533190
www.newelectronx.com,318769,Top/Shopping/Tools,2637865
www.nznature.co.nz,384013,Top/Shopping/Ethnic_and_Regional,2802783
www.storeforknowledge.com,329239,Top/Shopping/Toys_and_Games,2891527
www.bestpysanky.com,308582,Top/Shopping/Ethnic_and_Regional,2987598
www.bestbuy.com,224,Top/Shopping/General_Merchandise,308
www.driedflowersrus.com,390647,Top/Shopping/Flowers,3080083
www.officedepot.com,1593,Top/Shopping/Office_Products,3116
www.alibris.com,11418,Top/Shopping/Entertainment,31662
www.homedepot.com,251,Top/Shopping/General_Merchandise,333
www.cosport.com,382060,Top/Shopping/Entertainment,3454129
www.showerright.co.uk,409443,Top/Shopping/Home_and_Garden,3619348
www.unconventionallapidarist.com,615542,Top/Shopping/Jewelry,3695400
www.laracopper.com,539929,Top/Shopping/Home_and_Garden,3712833
www.mrvacandmrssew.com,554975,Top/Shopping/Crafts,3715971
www.mortkunstler.com,455242,Top/Shopping/Antiques_and_Collectibles,3848691
www.tumi.com,13240,Top/Shopping/Travel,38588
www.rods.com,84838,Top/Shopping/Ethnic_and_Regional,402662
www.m-and-d.com,92524,Top/Shopping/Tools,423473
www.artelino.com,87878,Top/Shopping/Auctions,423874
www.celticcolours.com,449257,Top/Shopping/Jewelry,4333174
www.cabelas.com,2094,Top/Shopping/General_Merchandise,4348
www.homespun.com,85851,Top/Shopping/Music,435756
www.radioera.com,366391,Top/Shopping/Publications,4651269
www.kaysmusic.com,667671,Top/Shopping/Music,4655625
www.jwfishers.com,399259,Top/Shopping/Sports,4678266
www.tee-usa.com,571453,Top/Shopping/Recreation,4681951
www.kiteboardinguk.com,504458,Top/Shopping/Sports,4836983
www.themississippigiftcompany.com,385441,Top/Shopping/Food,4929755
www.heartofstonestudio.com,309324,Top/Shopping/Crafts,4931056
gibraltarfurniture.com,401211,Top/Shopping/Home_and_Garden,5035565
www.ronjo.com,507825,Top/Shopping/Clothing,5060449
store.aquarianbath.com,2452127,Top/Shopping/Crafts,5067109
www.kittyhawk.com,95961,Top/Shopping/Recreation,524834
www.internet-grocer.net,966590,Top/Shopping/Food,5259967
www.personalcreations.com,22751,Top/Shopping/General_Merchandise,55433
www.kfmaps.com,514492,Top/Shopping/Recreation,5618863
www.athleta.com,18320,Top/Shopping/Clothing,57131
www.oldradioparts.com,536036,Top/Shopping/Consumer_Electronics,6275024
www.rockcreek.com,120080,Top/Shopping/Recreation,628556
www.misterart.com,115824,Top/Shopping/Visual_Arts,639437
www.hakes.com,107641,Top/Shopping/Auctions,655943
www.pcaviator.com,134340,Top/Shopping/Recreation,663581
www.lowes.com,463,Top/Shopping/Home_and_Garden,676
www.radioshack.com,21550,Top/Shopping/Consumer_Electronics,68113
www.monstermakers.com,100677,Top/Shopping/Crafts,701656
www.greendesigns.com,677526,Top/Shopping/Office_Products,7053570
www.garwood-voigt.com,554068,Top/Shopping/Publications,7139355
vermitechnology.com,806570,Top/Shopping/Recreation,7142178
autoplates.com,137122,Top/Shopping/Gifts,726523
www.madeinfirenze.it,966590,Top/Shopping/Recreation,7301962
www.arkway.com,966590,Top/Shopping/Publications,7351715
www.jas-townsend.com,966590,Top/Shopping/Recreation,7580186
www.daedalusbooks.com,150480,Top/Shopping/Entertainment,771021
www.tinyprints.com,173719,Top/Shopping/Children,772780
www.profeel.com,966590,Top/Shopping/Consumer_Electronics,7870374
www.blackjungleterrariumsupply.com,151949,Top/Shopping/Home_and_Garden,801951
www.goldenrod.com,701443,Top/Shopping/Niche,8291766
www.williams-sonoma.com,3609,Top/Shopping/General_Merchandise,8891
www.dancebooks.co.uk,966590,Top/Shopping/Entertainment,9171938
