url,popularity_rank,category,overall_rank
www.ebay.com,40,Top/Shopping/Auctions,39
gaslightconversions.com.s3-website-us-east-1.amazonaws.com,874798,Top/Shopping/Home_and_Garden,120
deetfree.co.s3-website-us-west-2.amazonaws.com,874798,Top/Shopping/Recreation,120
www.etsy.com,148,Top/Shopping/Crafts,182
www.redbubble.com,795,Top/Shopping/Visual_Arts,1383
www.autotrader.com,925,Top/Shopping/Vehicles,1654
shop.nationalgeographic.com,32025,Top/Shopping/Recreation,1803
www.bedbathandbeyond.com,983,Top/Shopping/General_Merchandise,1861
www.barnesandnoble.com,1159,Top/Shopping/Entertainment,2227
www.samsclub.com,1343,Top/Shopping/General_Merchandise,2570
www.bookstore.virginia.edu,881919,Top/Shopping/Sports,4205
antiquestocks.stores.yahoo.net,896050,Top/Shopping/Antiques_and_Collectibles,5284
yhst-66840478078428.stores.yahoo.net,896050,Top/Shopping/Antiques_and_Collectibles,5284
sanctuarie-net.stores.yahoo.net,598432,Top/Shopping/Clothing,5284
carolinaleatherworks.stores.yahoo.net,814815,Top/Shopping/Clothing,5284
88-bags.stores.yahoo.net,896050,Top/Shopping/Clothing,5284
avmounts.stores.yahoo.net,896050,Top/Shopping/Consumer_Electronics,5284
hamiltonholtinc.stores.yahoo.net,387681,Top/Shopping/Entertainment,5284
cdrack.stores.yahoo.net,896050,Top/Shopping/Entertainment,5284
continuum.stores.yahoo.net,896050,Top/Shopping/Entertainment,5284
mariescandies.stores.yahoo.net,896050,Top/Shopping/Food,5284
rebeccaruth.stores.yahoo.net,896050,Top/Shopping/Food,5284
tea-room.stores.yahoo.net,896050,Top/Shopping/Food,5284
gerdaspillmann.stores.yahoo.net,896050,Top/Shopping/Health,5284
americanherbs.stores.yahoo.net,896050,Top/Shopping/Health,5284
islandhe.stores.yahoo.net,896050,Top/Shopping/Health,5284
2001perfumes.stores.yahoo.net,896050,Top/Shopping/Health,5284
galafutonsandfurniture.stores.yahoo.net,438911,Top/Shopping/Home_and_Garden,5284
undertheroof.stores.yahoo.net,691061,Top/Shopping/Home_and_Garden,5284
candle-scape.stores.yahoo.net,896050,Top/Shopping/Home_and_Garden,5284
capeannieslight-store.stores.yahoo.net,896050,Top/Shopping/Home_and_Garden,5284
citywidesecurity.stores.yahoo.net,896050,Top/Shopping/Home_and_Garden,5284
clock-watch.stores.yahoo.net,896050,Top/Shopping/Home_and_Garden,5284
yhst-46389708393998.stores.yahoo.net,896050,Top/Shopping/Home_and_Garden,5284
schoolstationers.stores.yahoo.net,896050,Top/Shopping/Office_Products,5284
familycrests.stores.yahoo.net,896050,Top/Shopping/Recreation,5284
unicornwings.stores.yahoo.net,896050,Top/Shopping/Recreation,5284
americaismakingit.stores.yahoo.net,540829,Top/Shopping/Sports,5284
123skateboard.stores.yahoo.net,896050,Top/Shopping/Sports,5284
all-pro-authentics.stores.yahoo.net,896050,Top/Shopping/Sports,5284
yhst-70974384877133.stores.yahoo.net,896050,Top/Shopping/Sports,5284
wescoperformance.stores.yahoo.net,896050,Top/Shopping/Sports,5284
