url,global_rank,country_rank,reach_per_million,page_views_per_million,page_views_per_user,category,lang_code,dp,deceptive
amazon.com,11,11,42340.0,9079.0,7.87,Shopping,en,False,False
ebay.com,40,40,13570.0,2543.0,6.88,Shopping,en,False,False
office.com,47,47,15430.0,908.1,2.16,Shopping,en,False,False
aliexpress.com,48,48,10010.0,3015.0,11.05,Shopping,en,False,False
apple.com,72,72,9765.0,860.1,3.23,Shopping,en,False,False
amazon.co.uk,88,88,6101.0,1116.0,6.71,Shopping,en,True,False
ebay.co.uk,149,149,3440.0,763.7,8.15,Shopping,en,True,False
flipkart.com,163,163,3692.0,445.1,4.43,Shopping,en,True,False
walmart.com,174,174,3600.0,382.9,3.9,Shopping,en,True,False
alibaba.com,175,175,3210.0,528.2,6.03,Shopping,en,False,False
steampowered.com,219,219,3040.0,234.2,2.83,Shopping,en,False,False
ikea.com,229,229,2220.0,483.6,7.98,Shopping,en,False,False
bestbuy.com,267,267,2270.0,234.1,3.79,Shopping,en,False,False
amazon.ca,283,283,1820.0,367.1,7.39,Shopping,en,False,False
xfinity.com,284,284,2220.0,206.2,3.41,Shopping,en,False,False
gearbest.com,329,329,1760.0,207.4,4.32,Shopping,en,True,False
asos.com,337,337,1310.0,510.1,14.3,Shopping,en,False,False
samsung.com,342,342,1920.0,151.3,2.9,Shopping,en,True,False
hp.com,364,364,1730.0,153.0,3.25,Shopping,en,True,False
homedepot.com,365,365,1650.0,170.5,3.78,Shopping,en,False,False
target.com,378,378,1770.0,133.9,2.77,Shopping,en,False,False
mi.com,382,382,1550.0,181.0,4.28,Shopping,en,False,False
nike.com,478,478,1170.0,165.0,5.18,Shopping,en,False,False
souq.com,529,529,1070.0,153.2,5.24,Shopping,en,False,False
ebay.com.au,542,542,969.0,188.1,7.13,Shopping,en,False,False
banggood.com,556,556,1050.0,140.0,4.91,Shopping,en,False,False
hm.com,561,561,904.0,214.6,8.71,Shopping,en,False,False
shein.com,571,571,1080.0,114.7,3.91,Shopping,en,False,False
newegg.com,627,627,1070.0,81.87,2.82,Shopping,en,False,False
groupon.com,643,643,983.0,89.4,3.34,Shopping,en,True,False
mercari.com,665,665,781.0,154.0,7.23,Shopping,en,False,False
verizonwireless.com,728,728,794.0,104.4,4.82,Shopping,en,False,False
nordstrom.com,753,753,775.0,97.5,4.62,Shopping,en,False,False
wayfair.com,754,754,754.0,104.9,5.11,Shopping,en,True,False
costco.com,761,761,774.0,94.32,4.47,Shopping,en,False,False
bhphotovideo.com,835,835,793.0,67.3,3.12,Shopping,en,True,False
kohls.com,1030,1030,578.0,77.32,4.91,Shopping,en,True,False
dhgate.com,1056,1056,515.0,102.0,7.3,Shopping,en,False,False
bodybuilding.com,1129,1129,659.0,43.1,2.4,Shopping,en,True,False
iherb.com,1162,1162,474.0,93.8,7.26,Shopping,en,False,False
g2a.com,1177,1177,590.0,47.7,2.97,Shopping,en,False,False
manyvids.com,1236,1236,714.78,126.02,6.471,Shopping,en,False,False
uniqlo.com,1240,1240,472.0,73.6,5.73,Shopping,en,True,False
reverb.com,1251,1251,757.11,104.67,5.074,Shopping,en,False,False
