url,global_rank,country_rank,reach_per_million,page_views_per_million,page_views_per_user,category
bukalapak.com,155,155,5166.16,2962.6,21.05,Shopping
walmart.com,174,174,3600,382.9,3.9,Shopping
drom.ru,487,487,975,290.7,10.9,Shopping
farfetch.com,890,890,607,112,6.75,Shopping
qj.com.cn,1099,1099,577,64.1,4.08,Shopping
manyvids.com,1236,1236,714.78,126.02,6.471,Shopping
newbalance.tmall.com,2213,2213,490,13.6,1.02,Shopping
shopee.vn,2428,2428,262,40.44,5.67,Shopping
99114.com,2446,2446,287,30.2,3.9,Shopping
joinhoney.com,2793,2793,344,14,1.49,Shopping
mydealz.de,3760,3760,199,18.2,3.34,Shopping
blu-ray.com,3824,3824,178,23.3,4.79,Shopping
cabelas.com,4375,4375,167,17.8,3.91,Shopping
abebooks.com,4383,4383,195,12.3,2.31,Shopping
romwe.com,4596,4596,150,20.4,5.01,Shopping
backcountry.com,5354,5354,132,17.2,4.77,Shopping
92fanli.com,7369,7369,110,9.55,3.3,Shopping
lulus.com,8643,8643,74.2,14.8,7.32,Shopping
kakakumag.com,11297,11297,100,3,1.1,Shopping
animate-onlineshop.jp,12209,12209,63,6,3.5,Shopping
jumia.ci,12570,12570,53.1,8.52,5.88,Shopping
trovit.it,13116,13116,57,5.99,3.9,Shopping
asics.com,13334,13334,55,6.23,4.2,Shopping
dzsc.com,13561,13561,61,4.3,2.6,Shopping
opticsplanet.com,14296,14296,54.8,4.7,3.15,Shopping
footasylum.com,14440,14440,48,6.62,5.1,Shopping
technodom.kz,14737,14737,44.9,7.28,5.95,Shopping
clickindia.com,15607,15607,52.2,3.92,2.76,Shopping
torrid.com,15686,15686,40.4,7.74,7.03,Shopping
ferra.ru,16111,16111,59.3,2.71,1.68,Shopping
lidl.es,16722,16722,52,3.09,2.2,Shopping
couponbirds.com,16863,16863,61,2.28,1.4,Shopping
thisiswhyimbroke.com,17300,17300,61.3,2.12,1.27,Shopping
made.com,17855,17855,40,4.88,4.5,Shopping
kiabi.com,17999,17999,36,6.09,6.2,Shopping
bitinfocharts.com,18281,18281,50,2.63,1.9,Shopping
palmettostatearmory.com,18442,18442,38.8,4.53,4.28,Shopping
creative.com,18862,18862,40,3.8,3.5,Shopping
thegoodguys.com.au,19147,19147,41.3,3.34,2.97,Shopping
vogue.co.uk,20020,20020,47,2.16,1.7,Shopping
thekrazycouponlady.com,20499,20499,42.9,2.43,2.07,Shopping
ipsy.com,21117,21117,34.1,3.75,4,Shopping
parts-express.com,21175,21175,34,3.81,4.2,Shopping
rydo.ru,21674,21674,38.3,2.54,2.43,Shopping
meidebi.com,21726,21726,34,3.4,3.7,Shopping
bhmeibiao.tmall.com,22247,22247,51,1.4,1,Shopping
novate.ru,22299,22299,40.5,2.06,1.9,Shopping
oglaszamy24.pl,22734,22734,26,6.62,9.5,Shopping
doorbin.me,22967,22967,29.9,3.79,4.7,Shopping
ebay.ch,23850,23850,29,3.59,4.5,Shopping
colorhexa.com,24233,24233,34,2.28,2.5,Shopping
iledebeaute.ru,25016,25016,26.9,3.62,4.93,Shopping
yallamotor.com,25228,25228,29,2.89,3.7,Shopping
bauhaus.se,26269,26269,27,2.93,4,Shopping
ecobee.com,26530,26530,25,3.48,5.1,Shopping
hollandandbarrett.com,26776,26776,27,2.79,3.8,Shopping
checkraka.com,27256,27256,31.2,1.82,2.1,Shopping
lidl-hellas.gr,28040,28040,32.3,1.56,1.77,Shopping
parsgraphic.ir,29074,29074,20,4.43,8,Shopping
1a.lv,29468,29468,20.9,3.8,6.67,Shopping
cataloxy.ru,29565,29565,30.2,1.5,1.8,Shopping
domik.ua,29805,29805,24,2.38,3.6,Shopping
monclick.it,30496,30496,23,2.42,3.8,Shopping
otzyvy.pro,30830,30830,33.4,1.11,1.22,Shopping
bike24.com,30950,30950,27,1.6,2.2,Shopping
yikuyi.com,31050,31050,22,2.7,4.6,Shopping
havecamerawilltravel.com,31063,31063,34,1.06,1.1,Shopping
hyperinzerce.cz,31180,31180,23,2.3,3.7,Shopping
zooplus.fr,31269,31269,19,3.91,7.5,Shopping
ha.com,32148,32148,21,2.66,4.7,Shopping
gu-japan.com,32461,32461,26,1.5,2.1,Shopping
