url,global_rank,country_rank,reach_per_million,page_views_per_million,page_views_per_user,category
taobao.com,8,8,55090,6083,4.05,Shopping
tmall.com,9,9,60280,4688,2.85,Shopping
amazon.com,11,11,42340,9079,7.87,Shopping
jd.com,16,16,37450,5284,5.18,Shopping
pages.tmall.com,32,32,23900,960.1,1.47,Shopping
ebay.com,40,40,13570,2543,6.88,Shopping
office.com,47,47,15430,908.1,2.16,Shopping
aliexpress.com,48,48,10010,3015,11.05,Shopping
amazon.co.jp,57,57,9320,2361,9.29,Shopping
apple.com,72,72,9765,860.1,3.23,Shopping
amazon.de,83,83,6222,1386,8.17,Shopping
amazon.co.uk,88,88,6101,1116,6.71,Shopping
detail.tmall.com,89,89,11000,308,1.03,Shopping
craigslist.org,106,106,4730,1101,8.55,Shopping
tokopedia.com,120,120,7420.85,2335.86,11.55,Shopping
avito.ru,133,133,3620,1087,11.02,Shopping
1688.com,136,136,3630,998.5,10.1,Shopping
ebay.de,148,148,3360,856.2,9.34,Shopping
ebay.co.uk,149,149,3440,763.7,8.15,Shopping
bukalapak.com,155,155,5166.16,2962.6,21.05,Shopping
flipkart.com,163,163,3692,445.1,4.43,Shopping
cnet.com,168,168,4480,259.6,2.13,Shopping
walmart.com,174,174,3600,382.9,3.9,Shopping
alibaba.com,175,175,3210,528.2,6.03,Shopping
mercadolivre.com.br,183,183,2770,669.3,8.88,Shopping
amazon.fr,194,194,2720,539.4,7.27,Shopping
amazon.it,212,212,2400,532.4,8.16,Shopping
steampowered.com,219,219,3040,234.2,2.83,Shopping
ikea.com,229,229,2220,483.6,7.98,Shopping
ebay-kleinanzeigen.de,239,239,1990,594.2,10.9,Shopping
digikala.com,250,250,2020,446.4,8.11,Shopping
amazon.es,265,265,1940,385.5,7.29,Shopping
bestbuy.com,267,267,2270,234.1,3.79,Shopping
amazon.ca,283,283,1820,367.1,7.39,Shopping
xfinity.com,284,284,2220,206.2,3.41,Shopping
allegro.pl,289,289,1680,435.2,9.49,Shopping
amazon.cn,294,294,1850,283,5.6,Shopping
kakaku.com,308,308,1720,277,5.91,Shopping
kaskus.co.id,323,323,3649.82,308.91,3.11,Shopping
gearbest.com,329,329,1760,207.4,4.32,Shopping
asos.com,337,337,1310,510.1,14.3,Shopping
samsung.com,342,342,1920,151.3,2.9,Shopping
yao.tmall.com,350,350,2730,75.1,1.01,Shopping
hp.com,364,364,1730,153,3.25,Shopping
homedepot.com,365,365,1650,170.5,3.78,Shopping
target.com,378,378,1770,133.9,2.77,Shopping
olx.ua,381,381,1280,334.5,9.57,Shopping
mi.com,382,382,1550,181,4.28,Shopping
mercadolibre.com.ar,394,394,1230,364.1,10.9,Shopping
51sole.com,419,419,1460,149,3.74,Shopping
olx.pl,428,428,1160,269.7,8.54,Shopping
sahibinden.com,458,458,907.3,467.3,18.9,Shopping
divar.ir,459,459,999,317.4,11.7,Shopping
huaban.com,465,465,1797.08,385.28,7.869,Shopping
discogs.com,466,466,1060,246.5,8.53,Shopping
zol.com.cn,470,470,1380,114,3.04,Shopping
ebay.it,471,471,1110,203.6,6.73,Shopping
nike.com,478,478,1170,165,5.18,Shopping
drom.ru,487,487,975,290.7,10.9,Shopping
3c.tmall.com,520,520,1880,51.2,1,Shopping
souq.com,529,529,1070,153.2,5.24,Shopping
wish.com,535,535,1110,128,4.21,Shopping
asus.com,541,541,1150,115,3.69,Shopping
ebay.com.au,542,542,969,188.1,7.13,Shopping
banggood.com,556,556,1050,140,4.91,Shopping
bandcamp.com,557,557,1170,102,3.19,Shopping
hm.com,561,561,904,214.6,8.71,Shopping
smzdm.com,570,570,1000,142,5.22,Shopping
shein.com,571,571,1080,114.7,3.91,Shopping
att.com,592,592,1040,114.1,4.04,Shopping
gome.com.cn,594,594,1050,109,3.8,Shopping
gmarket.co.kr,616,616,848,164,7.1,Shopping
newegg.com,627,627,1070,81.87,2.82,Shopping
uniqlo.tmall.com,632,632,1480,43.8,1.09,Shopping
groupon.com,643,643,983,89.4,3.34,Shopping
blibli.com,662,662,1744.93,174.71,3.675,Shopping
olx.com.br,663,663,738,188.9,9.4,Shopping
mercari.com,665,665,781,154,7.23,Shopping
jiameng.com,672,672,809,133,6.04,Shopping
cdiscount.com,684,684,820,120,5.37,Shopping
subject.tmall.com,701,701,1380,37.7,1,Shopping
nvzhuang.tmall.com,703,703,1380,37.5,1,Shopping
indiamart.com,714,714,928,72.06,2.85,Shopping
verizonwireless.com,728,728,794,104.4,4.82,Shopping
nordstrom.com,753,753,775,97.5,4.62,Shopping
wayfair.com,754,754,754,104.9,5.11,Shopping
costco.com,761,761,774,94.32,4.47,Shopping
lowes.com,768,768,798,85.13,3.92,Shopping
subito.it,771,771,640,165,9.45,Shopping
americanas.com.br,783,783,788,83.4,3.89,Shopping
ebay.fr,790,790,687,118,6.31,Shopping
macys.com,808,808,718,95.3,4.87,Shopping
snapdeal.com,809,809,772,78.22,3.72,Shopping
bhphotovideo.com,835,835,793,67.3,3.12,Shopping
mobile01.com,846,846,882,50.8,2.11,Shopping
prom.ua,857,857,684,89.21,4.78,Shopping
wildberries.ru,858,858,555.7,175.9,11.6,Shopping
ruten.com.tw,869,869,706,77.6,4.03,Shopping
jqw.com,875,875,661,91.5,5.08,Shopping
farfetch.com,890,890,607,112,6.75,Shopping
hepsiburada.com,906,906,631,92.93,5.4,Shopping
paytmmall.com,918,918,699,67.43,3.54,Shopping
n11.com,926,926,619,92.45,5.49,Shopping
ebates.com,946,946,787,47.3,2.21,Shopping
ukr.net,961,961,811,42.6,1.93,Shopping
auction.co.kr,975,975,557,104,6.85,Shopping
shopee.tw,997,997,598,76.5,4.69,Shopping
myntra.com,1004,1004,516,118.2,8.4,Shopping
kohls.com,1030,1030,578,77.32,4.91,Shopping
rozetka.com.ua,1034,1034,587,73,4.56,Shopping
informereng.com,1043,1043,965,26.3,1,Shopping
retailmenot.com,1046,1046,754,39,1.9,Shopping
err.tmall.com,1055,1055,957,26.2,1.01,Shopping
dhgate.com,1056,1056,515,102,7.3,Shopping
gap.tmall.com,1057,1057,955,26.2,1.01,Shopping
spao.tmall.com,1067,1067,943,25.9,1.01,Shopping
miao.tmall.com,1069,1069,946,25.8,1,Shopping
lee.tmall.com,1071,1071,942,25.9,1.01,Shopping
crabsecret.tmall.com,1078,1078,937,25.7,1.01,Shopping
neiyi.tmall.com,1083,1083,938,25.6,1,Shopping
aimer.tmall.com,1088,1088,931,25.5,1.01,Shopping
reclameaqui.com.br,1092,1092,1337.94,61.59,1.69,Shopping
myhome.tmall.com,1096,1096,930,25.3,1,Shopping
qj.com.cn,1099,1099,577,64.1,4.08,Shopping
instructables.com,1100,1100,746,35.6,1.75,Shopping
tgju.org,1102,1102,747,35.3,1.73,Shopping
bodybuilding.com,1129,1129,659,43.1,2.4,Shopping
otto.de,1132,1132,499,89.9,6.61,Shopping
avito.ma,1158,1158,680.96,292.04,15.74,Shopping
iherb.com,1162,1162,474,93.8,7.26,Shopping
g2a.com,1177,1177,590,47.7,2.97,Shopping
amazon.com.mx,1180,1180,462,94.17,7.48,Shopping
bamilo.com,1193,1193,498,71.5,5.28,Shopping
ebay.es,1213,1213,481,74.2,5.66,Shopping
buy.tmall.com,1224,1224,631,36.5,2.12,Shopping
manyvids.com,1236,1236,714.78,126.02,6.471,Shopping
uniqlo.com,1240,1240,472,73.6,5.73,Shopping
reverb.com,1251,1251,757.11,104.67,5.074,Shopping
youla.ru,1257,1257,451,80.5,6.55,Shopping
redbubble.com,1265,1265,507,55.5,4.01,Shopping
xiaomi.com,1267,1267,567,41.5,2.68,Shopping
jmw.com.cn,1292,1292,469,64.6,5.05,Shopping
myfitnesspal.com,1317,1317,488,54.4,4.09,Shopping
jumia.com.ng,1350,1350,458,58.68,4.71,Shopping
lazada.co.th,1370,1370,404,81.49,7.41,Shopping
ebay.ca,1412,1412,416,67.46,5.96,Shopping
yodobashi.com,1413,1413,451,53.2,4.33,Shopping
turbo.az,1425,1425,322,164.1,18.7,Shopping
dangdang.com,1429,1429,405,69.9,6.33,Shopping
lazada.com.my,1431,1431,389,79.31,7.48,Shopping
duba.com,1433,1433,679,21.9,1.19,Shopping
otomoto.pl,1438,1438,377,86.8,8.44,Shopping
dns-shop.ru,1445,1445,433,56.1,4.76,Shopping
skroutz.gr,1453,1453,387,77.46,7.35,Shopping
gittigidiyor.com,1475,1475,416,59.17,5.22,Shopping
gap.com,1479,1479,447,48.1,3.95,Shopping
punchng.com,1485,1485,733.85,81.05,4.054,Shopping
mvideo.ru,1488,1488,429,52.5,4.49,Shopping
zappos.com,1490,1490,425,53.6,4.64,Shopping
mts.ru,1520,1520,423,49.87,4.33,Shopping
correios.com.br,1526,1526,488,34.6,2.6,Shopping
coupang.com,1534,1534,347,90,9.53,Shopping
houzz.com,1538,1538,448,41.4,3.39,Shopping
