url,global_rank,country_rank,reach_per_million,page_views_per_million,page_views_per_user,category,lang_code
amazon.com,11,11,42340,9079,7.87,Shopping,en
jd.com,16,16,37450,5284,5.18,Shopping,en
ebay.com,40,40,13570,2543,6.88,Shopping,en
office.com,47,47,15430,908.1,2.16,Shopping,en
aliexpress.com,48,48,10010,3015,11.05,Shopping,en
apple.com,72,72,9765,860.1,3.23,Shopping,en
amazon.co.uk,88,88,6101,1116,6.71,Shopping,en
craigslist.org,106,106,4730,1101,8.55,Shopping,en
ebay.co.uk,149,149,3440,763.7,8.15,Shopping,en
flipkart.com,163,163,3692,445.1,4.43,Shopping,en
walmart.com,174,174,3600,382.9,3.9,Shopping,en
alibaba.com,175,175,3210,528.2,6.03,Shopping,en
steampowered.com,219,219,3040,234.2,2.83,Shopping,en
ikea.com,229,229,2220,483.6,7.98,Shopping,en
bestbuy.com,267,267,2270,234.1,3.79,Shopping,en
amazon.ca,283,283,1820,367.1,7.39,Shopping,en
xfinity.com,284,284,2220,206.2,3.41,Shopping,en
gearbest.com,329,329,1760,207.4,4.32,Shopping,en
asos.com,337,337,1310,510.1,14.3,Shopping,en
samsung.com,342,342,1920,151.3,2.9,Shopping,en
hp.com,364,364,1730,153,3.25,Shopping,en
homedepot.com,365,365,1650,170.5,3.78,Shopping,en
target.com,378,378,1770,133.9,2.77,Shopping,en
mi.com,382,382,1550,181,4.28,Shopping,en
discogs.com,466,466,1060,246.5,8.53,Shopping,en
nike.com,478,478,1170,165,5.18,Shopping,en
souq.com,529,529,1070,153.2,5.24,Shopping,en
wish.com,535,535,1110,128,4.21,Shopping,en
ebay.com.au,542,542,969,188.1,7.13,Shopping,en
banggood.com,556,556,1050,140,4.91,Shopping,en
bandcamp.com,557,557,1170,102,3.19,Shopping,en
hm.com,561,561,904,214.6,8.71,Shopping,en
shein.com,571,571,1080,114.7,3.91,Shopping,en
att.com,592,592,1040,114.1,4.04,Shopping,en
newegg.com,627,627,1070,81.87,2.82,Shopping,en
groupon.com,643,643,983,89.4,3.34,Shopping,en
mercari.com,665,665,781,154,7.23,Shopping,en
indiamart.com,714,714,928,72.06,2.85,Shopping,en
verizonwireless.com,728,728,794,104.4,4.82,Shopping,en
nordstrom.com,753,753,775,97.5,4.62,Shopping,en
wayfair.com,754,754,754,104.9,5.11,Shopping,en
costco.com,761,761,774,94.32,4.47,Shopping,en
lowes.com,768,768,798,85.13,3.92,Shopping,en
macys.com,808,808,718,95.3,4.87,Shopping,en
snapdeal.com,809,809,772,78.22,3.72,Shopping,en
bhphotovideo.com,835,835,793,67.3,3.12,Shopping,en
farfetch.com,890,890,607,112,6.75,Shopping,en
paytmmall.com,918,918,699,67.43,3.54,Shopping,en
ebates.com,946,946,787,47.3,2.21,Shopping,en
myntra.com,1004,1004,516,118.2,8.4,Shopping,en
