url,global_rank,country_rank,reach_per_million,page_views_per_million,page_views_per_user,label
cmcu.org,188872,188872,2.5,0.35,5.2,FALSE
erogazo-jp.net,69865,69865,12,0.49,1.5,FALSE
shnyagi.net,226580,226580,2.5,0.15,2.2,FALSE
oddslot.com,67980,67980,12,0.54,1.6,FALSE
fotohostingtv.ru,323861,323861,1.6,0.09,2,FALSE
advantagehosted.com,167774,167774,3.8,0.21,2,FALSE
cntorrentkitty.org,19766,19766,31,6.59,7.8,FALSE
fceo.ir,216420,216420,2.5,0.18,2.6,FALSE
inna1903gr.livejournal.com,340597,340597,1.4,0.1,2.5,FALSE
erogazoufactory.com,56960,56960,15,0.7,1.8,FALSE
tourmag.com,159244,159244,4.8,0.16,1.2,FALSE
thebestsingapore.com,130331,130331,5.7,0.24,1.5,FALSE
dpauls.com,214757,214757,2.4,0.2,3,FALSE
ving.se,84862,84862,7.2,0.77,3.9,FALSE
juvelirum.ru,312352,312352,1.9,0.08,1.5,FALSE
mytedata.net,3873,3873,196,17.4,3.25,FALSE
awebfont.ir,205224,205224,3.1,0.15,1.8,FALSE
qcenglish.com,179435,179435,3,0.27,3,FALSE
apartos.ru,270384,270384,2.1,0.11,2,FALSE
cornercard.ch,197108,197108,2.9,0.19,2.4,FALSE
rocketbeans.tv,53310,53310,15,0.77,1.8,TRUE
kikiska.com,257135,257135,1.7,0.21,4.5,FALSE
import-watch.com,203685,203685,2.3,0.29,5,TRUE
soylunaok.blogspot.com,139262,139262,4.1,0.35,3.1,FALSE
mein-deal.com,31364,31364,25,1.87,2.8,TRUE
topgal.cz,284305,284305,1.3,0.28,7.5,TRUE
moderntechgamer.com,218951,218951,2.6,0.15,2.1,FALSE
inventory-planner.com,283365,283365,1.4,0.25,6.5,FALSE
mamecn.com,86824,86824,6.5,0.91,5.2,FALSE
nwpfs.org,320162,320162,1.1,0.3,10,FALSE
iamnaughty.com,28702,28702,35,1.2,1.3,FALSE
steelcn.cn,145343,145343,3,0.73,8.8,FALSE
residenttools.com,182931,182931,2.7,0.32,4.3,FALSE
makhsoom.com,121903,121903,4,0.75,6.9,TRUE
learn.com,130062,130062,4,0.52,4.7,FALSE
sadovod.net,355416,355416,1.2,0.13,4.2,TRUE
tu-sofia.bg,327468,327468,1.4,0.12,3.2,FALSE
bellflowerliving.com,346443,346443,1.6,0.07,1.7,FALSE
cff.org.br,250061,250061,2.7,0.09,1.2,FALSE
interdin.com.ec,149057,149057,3.8,0.33,3.1,FALSE
trumptwitterarchive.com,134936,134936,6.2,0.18,1.1,FALSE
completehomespa.com,305819,305819,2.1,0.07,1.2,FALSE
