url,category
cmcu.org,Business
cmcu.org,Economy and Finance
erogazo-jp.net,Adult
shnyagi.net,Education
shnyagi.net,Entertainment
oddslot.com,Gambling
oddslot.com,Sports
fotohostingtv.ru,Media Sharing
advantagehosted.com,Business
cntorrentkitty.org,Uncategorized
fceo.ir,Business
fceo.ir,Education
inna1903gr.livejournal.com,Blogs and Personal Sites
inna1903gr.livejournal.com,Education
inna1903gr.livejournal.com,Entertainment
erogazoufactory.com,Adult
erogazoufactory.com,Entertainment
tourmag.com,Business
tourmag.com,Education
thebestsingapore.com,Business
thebestsingapore.com,Entertainment
thebestsingapore.com,Shopping
dpauls.com,Business
dpauls.com,Travel
ving.se,Travel
juvelirum.ru,Business
juvelirum.ru,Education
juvelirum.ru,Shopping
mytedata.net,Business
mytedata.net,Information Technology
awebfont.ir,Business
awebfont.ir,Education
qcenglish.com,Education
apartos.ru,Business
apartos.ru,Travel
cornercard.ch,Business
cornercard.ch,Economy and Finance
rocketbeans.tv,Uncategorized
kikiska.com,Adult
import-watch.com,Business
import-watch.com,Shopping
soylunaok.blogspot.com,Business
soylunaok.blogspot.com,Entertainment
mein-deal.com,Business
mein-deal.com,Shopping
topgal.cz,Business
topgal.cz,Shopping
moderntechgamer.com,Games
moderntechgamer.com,Media Sharing
inventory-planner.com,Business
mamecn.com,Entertainment
mamecn.com,Games
nwpfs.org,Business
nwpfs.org,Education
nwpfs.org,Entertainment
iamnaughty.com,Dating and Personals
steelcn.cn,Business
residenttools.com,Business
residenttools.com,Education
makhsoom.com,Business
makhsoom.com,Shopping
learn.com,Business
learn.com,Information Technology
sadovod.net,Business
sadovod.net,Food and Recipes
sadovod.net,Shopping
tu-sofia.bg,Education
bellflowerliving.com,Business
cff.org.br,Business
cff.org.br,Education
interdin.com.ec,Business
trumptwitterarchive.com,Entertainment
trumptwitterarchive.com,News and Media
completehomespa.com,Business
entwickler.de,Business
entwickler.de,Information Technology
shidax.co.jp,Business
shidax.co.jp,Education
unae.edu.ec,Business
unae.edu.ec,Education
twfhcsec.com.tw,Business
twfhcsec.com.tw,Economy and Finance
twfhcsec.com.tw,Education
advance-rp.ru,Games
compassmanager.com,Business
compassmanager.com,Information Technology
onthebox.com,Entertainment
alindas.com,Business
